  vx           vy
  0.17145E+03  0.17145E+03
  0.34333E+01  0.34380E-01
  0.17168E+01  0.85957E-02
  0.11445E+01  0.38207E-02
  0.85830E+00  0.21497E-02
  0.68652E+00  0.13765E-02
  0.57193E+00  0.95679E-03
  0.48997E+00  0.70402E-03
  0.42856E+00  0.54070E-03
  0.38036E+00  0.42833E-03
  0.34178E+00  0.34858E-03
  0.31004E+00  0.28990E-03
  0.28340E+00  0.24560E-03
  0.26065E+00  0.21145E-03
  0.24092E+00  0.18469E-03
  0.22358E+00  0.16343E-03
  0.20814E+00  0.14636E-03
  0.19424E+00  0.13253E-03
  0.18159E+00  0.12126E-03
  0.16995E+00  0.11204E-03
  0.15915E+00  0.10447E-03
  0.14904E+00  0.98254E-04
  0.13949E+00  0.93152E-04
  0.13041E+00  0.88976E-04
  0.12168E+00  0.85564E-04
  0.11329E+00  0.82814E-04
  0.10514E+00  0.80599E-04
  0.97181E-01  0.78839E-04
  0.89380E-01  0.77458E-04
  0.81700E-01  0.76393E-04
  0.74113E-01  0.75588E-04
  0.66596E-01  0.74995E-04
  0.59129E-01  0.74572E-04
  0.51697E-01  0.74282E-04
  0.44289E-01  0.74093E-04
  0.36896E-01  0.73978E-04
  0.29512E-01  0.73915E-04
  0.22132E-01  0.73885E-04
  0.14754E-01  0.73874E-04
  0.73771E-02  0.73872E-04
  0.51339E-16  0.73872E-04
 -0.00000E+00  0.34336E+01
  0.17168E+01  0.17168E+01
  0.13734E+01  0.68674E+00
  0.10301E+01  0.34340E+00
  0.80783E+00  0.20205E+00
  0.66014E+00  0.13218E+00
  0.55649E+00  0.92970E-01
  0.48020E+00  0.68904E-01
  0.42199E+00  0.53168E-01
  0.37575E+00  0.42257E-01
  0.33843E+00  0.34469E-01
  0.30753E+00  0.28717E-01
  0.28148E+00  0.24361E-01
  0.25916E+00  0.20996E-01
  0.23974E+00  0.18354E-01
  0.22264E+00  0.16252E-01
  0.20738E+00  0.14562E-01
  0.19362E+00  0.13193E-01
  0.18108E+00  0.12076E-01
  0.16954E+00  0.11161E-01
  0.15881E+00  0.10410E-01
  0.14876E+00  0.97936E-02
  0.13926E+00  0.92872E-02
  0.13022E+00  0.88727E-02
  0.12152E+00  0.85341E-02
  0.11317E+00  0.82612E-02
  0.10504E+00  0.80415E-02
  0.97104E-01  0.78669E-02
  0.89319E-01  0.77301E-02
  0.81654E-01  0.76247E-02
  0.74079E-01  0.75451E-02
  0.66571E-01  0.74865E-02
  0.59111E-01  0.74449E-02
  0.51686E-01  0.74164E-02
  0.44282E-01  0.73980E-02
  0.36892E-01  0.73869E-02
  0.29510E-01  0.73809E-02
  0.22131E-01  0.73782E-02
  0.14754E-01  0.73773E-02
  0.73771E-02  0.73771E-02
  0.51339E-16  0.73771E-02
 -0.00000E+00  0.17168E+01
  0.68674E+00  0.13734E+01
  0.85843E+00  0.85843E+00
  0.79239E+00  0.52832E+00
  0.68670E+00  0.34350E+00
  0.59190E+00  0.23703E+00
  0.51482E+00  0.17201E+00
  0.45309E+00  0.13002E+00
  0.40344E+00  0.10166E+00
  0.36258E+00  0.81548E-01
  0.32876E+00  0.66968E-01
  0.30026E+00  0.56073E-01
  0.27589E+00  0.47753E-01
  0.25479E+00  0.41282E-01
  0.23628E+00  0.36176E-01
  0.21986E+00  0.32097E-01
  0.20513E+00  0.28808E-01
  0.19179E+00  0.26135E-01
  0.17958E+00  0.23952E-01
  0.16831E+00  0.22160E-01
  0.15780E+00  0.20688E-01
  0.14793E+00  0.19477E-01
  0.13858E+00  0.18483E-01
  0.12966E+00  0.17669E-01
  0.12107E+00  0.17004E-01
  0.11281E+00  0.16469E-01
  0.10475E+00  0.16038E-01
  0.96874E-01  0.15696E-01
  0.89141E-01  0.15429E-01
  0.81518E-01  0.15224E-01
  0.73978E-01  0.15069E-01
  0.66498E-01  0.14956E-01
  0.59061E-01  0.14877E-01
  0.51652E-01  0.14823E-01
  0.44261E-01  0.14789E-01
  0.36881E-01  0.14769E-01
  0.29504E-01  0.14759E-01
  0.22129E-01  0.14755E-01
  0.14754E-01  0.14754E-01
  0.73773E-02  0.14754E-01
  0.51341E-16  0.14754E-01
 -0.00000E+00  0.11445E+01
  0.34340E+00  0.10301E+01
  0.52832E+00  0.79239E+00
  0.57236E+00  0.57236E+00
  0.54945E+00  0.41222E+00
  0.50496E+00  0.30328E+00
  0.45773E+00  0.22938E+00
  0.41416E+00  0.17826E+00
  0.37593E+00  0.14207E+00
  0.34259E+00  0.11557E+00
  0.31385E+00  0.95886E-01
  0.28890E+00  0.80918E-01
  0.26708E+00  0.69332E-01
  0.24784E+00  0.60229E-01
  0.23074E+00  0.52986E-01
  0.21540E+00  0.47164E-01
  0.20152E+00  0.42445E-01
  0.18884E+00  0.38595E-01
  0.17716E+00  0.35438E-01
  0.16632E+00  0.32843E-01
  0.15616E+00  0.30706E-01
  0.14658E+00  0.28946E-01
  0.13748E+00  0.27500E-01
  0.12876E+00  0.26316E-01
  0.12034E+00  0.25349E-01
  0.11222E+00  0.24571E-01
  0.10428E+00  0.23946E-01
  0.96503E-01  0.23451E-01
  0.88855E-01  0.23066E-01
  0.81301E-01  0.22772E-01
  0.73817E-01  0.22552E-01
  0.66383E-01  0.22393E-01
  0.58982E-01  0.22283E-01
  0.51602E-01  0.22210E-01
  0.44231E-01  0.22165E-01
  0.36865E-01  0.22141E-01
  0.29498E-01  0.22131E-01
  0.22128E-01  0.22128E-01
  0.14755E-01  0.22129E-01
  0.73782E-02  0.22131E-01
  0.51348E-16  0.22132E-01
 -0.00000E+00  0.85830E+00
  0.20205E+00  0.80783E+00
  0.34350E+00  0.68670E+00
  0.41222E+00  0.54945E+00
  0.42941E+00  0.42941E+00
  0.41892E+00  0.33536E+00
  0.39630E+00  0.26471E+00
  0.36976E+00  0.21213E+00
  0.34324E+00  0.17290E+00
  0.31811E+00  0.14303E+00
  0.29518E+00  0.12020E+00
  0.27442E+00  0.10245E+00
  0.25569E+00  0.88473E-01
  0.23878E+00  0.77344E-01
  0.22346E+00  0.68396E-01
  0.20950E+00  0.61142E-01
  0.19670E+00  0.55222E-01
  0.18489E+00  0.50366E-01
  0.17391E+00  0.46369E-01
  0.16364E+00  0.43071E-01
  0.15396E+00  0.40349E-01
  0.14477E+00  0.38104E-01
  0.13598E+00  0.36257E-01
  0.12754E+00  0.34744E-01
  0.11935E+00  0.33510E-01
  0.11142E+00  0.32518E-01
  0.10365E+00  0.31724E-01
  0.96008E-01  0.31098E-01
  0.88473E-01  0.30613E-01
  0.81014E-01  0.30245E-01
  0.73608E-01  0.29974E-01
  0.66236E-01  0.29782E-01
  0.58884E-01  0.29651E-01
  0.51541E-01  0.29569E-01
  0.44198E-01  0.29522E-01
  0.36850E-01  0.29500E-01
  0.29495E-01  0.29495E-01
  0.22131E-01  0.29498E-01
  0.14759E-01  0.29504E-01
  0.73809E-02  0.29510E-01
  0.51369E-16  0.29512E-01
 -0.00000E+00  0.68653E+00
  0.13218E+00  0.66014E+00
  0.23703E+00  0.59190E+00
  0.30328E+00  0.50496E+00
  0.33536E+00  0.41892E+00
  0.34376E+00  0.34376E+00
  0.33810E+00  0.28210E+00
  0.32509E+00  0.23297E+00
  0.30883E+00  0.19433E+00
  0.29145E+00  0.16369E+00
  0.27429E+00  0.13952E+00
  0.25789E+00  0.12027E+00
  0.24249E+00  0.10481E+00
  0.22814E+00  0.92309E-01
  0.21482E+00  0.82132E-01
  0.20243E+00  0.73800E-01
  0.19090E+00  0.66946E-01
  0.18010E+00  0.61288E-01
  0.16996E+00  0.56606E-01
  0.16037E+00  0.52728E-01
  0.15126E+00  0.49518E-01
  0.14254E+00  0.46866E-01
  0.13416E+00  0.44681E-01
  0.12605E+00  0.42893E-01
  0.11814E+00  0.41435E-01
  0.11045E+00  0.40266E-01
  0.10288E+00  0.39334E-01
  0.95410E-01  0.38604E-01
  0.88017E-01  0.38043E-01
  0.80675E-01  0.37623E-01
  0.73365E-01  0.37319E-01
  0.66070E-01  0.37108E-01
  0.58778E-01  0.36972E-01
  0.51480E-01  0.36892E-01
  0.44169E-01  0.36853E-01
  0.36843E-01  0.36843E-01
  0.29500E-01  0.36850E-01
  0.22141E-01  0.36865E-01
  0.14769E-01  0.36881E-01
  0.73869E-02  0.36892E-01
