vx  vy
-0.54098E-13  0.88818E-14
0.11206E+02  0.95923E-13
0.63613E+01  0.56843E-13
0.43341E+01  0.56843E-13
0.33745E+01  0.56843E-13
0.28358E+01  -0.63949E-13
0.25183E+01  0.42633E-13
0.23179E+01  -0.12079E-12
0.21761E+01  -0.12612E-12
0.20620E+01  -0.30198E-13
0.19744E+01  0.14211E-13
0.19638E+01  -0.43521E-13
0.20791E+01  0.79936E-14
0.22141E+01  -0.23981E-13
0.24022E+01  0.50626E-13
0.24681E+01  0.56843E-13
0.24626E+01  -0.62172E-14
0.23552E+01  0.00000E+00
0.20381E+01  -0.22204E-14
0.17117E+01  -0.20872E-13
0.13347E+01  0.15543E-13
0.10851E+01  -0.26645E-13
0.95355E+00  -0.18652E-13
0.89000E+00  -0.21538E-13
0.87466E+00  0.17764E-14
0.89204E+00  0.73275E-14
0.91010E+00  -0.59952E-14
0.92022E+00  -0.66613E-15
0.90822E+00  -0.99920E-15
0.86440E+00  -0.15543E-14
0.78808E+00  0.41633E-14
0.67469E+00  -0.26090E-14
0.56226E+00  -0.63838E-15
0.46242E+00  0.13878E-15
0.38146E+00  -0.54123E-15
0.31450E+00  0.33307E-15
0.25361E+00  0.17208E-14
0.19354E+00  0.24980E-14
0.13142E+00  0.23315E-14
0.66595E-01  -0.99920E-15
-0.28418E-14  0.42722E-14
-0.42715E-13  0.11153E+02
0.58940E+01  0.58402E+01
0.54092E+01  0.21502E+01
0.39265E+01  0.11240E+01
0.31886E+01  0.62366E+00
0.27350E+01  0.36734E+00
0.24635E+01  0.22377E+00
0.22915E+01  0.14927E+00
0.21650E+01  0.11939E+00
0.20546E+01  0.10663E+00
0.19424E+01  0.92020E-01
0.18949E+01  -0.28793E-01
0.19116E+01  -0.15658E+00
0.26008E+01  -0.36179E+00
0.24661E+01  -0.44295E-01
0.24848E+01  -0.58019E-02
0.24861E+01  -0.19853E-03
0.24624E+01  0.17485E+00
0.26206E+01  0.25094E+00
0.15640E+01  0.58276E+00
0.12550E+01  0.27036E+00
0.10340E+01  0.16556E+00
0.92077E+00  0.87550E-01
0.86313E+00  0.31744E-01
0.87021E+00  -0.17088E-01
0.87118E+00  -0.21618E-01
0.92178E+00  -0.24554E-01
0.93049E+00  -0.12062E-02
0.92409E+00  0.20638E-01
0.89370E+00  0.56100E-01
0.77314E+00  0.11749E+00
0.69208E+00  0.11665E+00
0.55078E+00  0.11705E+00
0.45147E+00  0.86681E-01
0.37467E+00  0.69667E-01
0.31170E+00  0.60620E-01
0.25351E+00  0.58477E-01
0.19480E+00  0.60350E-01
0.13298E+00  0.63689E-01
0.67563E-01  0.66559E-01
0.20475E-14  0.67634E-01
-0.67754E-13  0.62543E+01
0.22036E+01  0.53014E+01
0.32440E+01  0.31350E+01
0.30635E+01  0.17772E+01
0.27111E+01  0.10618E+01
0.24659E+01  0.63273E+00
0.23151E+01  0.38215E+00
0.22233E+01  0.25487E+00
0.21487E+01  0.21432E+00
0.20392E+01  0.23143E+00
0.19116E+01  0.20904E+00
0.16564E+01  0.19705E+00
0.16854E+01  -0.75135E+00
0.58079E-04  -0.36035E-04
0.21969E-04  -0.25761E-05
0.25487E-04  0.33962E-05
0.25624E-04  0.78923E-05
0.21976E-04  0.28934E-04
0.63781E-04  0.25055E+01
0.13773E+01  0.74018E+00
0.98088E+00  0.49468E+00
0.91635E+00  0.27902E+00
0.82962E+00  0.16805E+00
0.78568E+00  0.52197E-01
0.76977E+00  -0.39213E-01
0.10140E+01  -0.14042E+00
0.94996E+00  -0.22084E-01
0.95311E+00  -0.13256E-02
0.96016E+00  0.13709E-01
0.96957E+00  0.11387E+00
0.10815E+01  0.17208E+00
0.63058E+00  0.35212E+00
0.50942E+00  0.21676E+00
0.41468E+00  0.16561E+00
0.35590E+00  0.12943E+00
0.30468E+00  0.11456E+00
0.25451E+00  0.11301E+00
0.20002E+00  0.11925E+00
0.13835E+00  0.12818E+00
0.70995E-01  0.13505E+00
0.38847E-14  0.13768E+00
-0.29077E-12  0.41762E+01
0.11744E+01  0.37660E+01
0.18837E+01  0.28954E+01
0.21286E+01  0.19559E+01
0.21266E+01  0.12339E+01
0.21000E+01  0.73165E+00
0.21038E+01  0.42423E+00
0.21389E+01  0.27095E+00
0.21594E+01  0.25474E+00
0.21249E+01  0.33338E+00
0.18041E+01  0.50812E+00
0.15766E+01  0.40824E+00
0.87700E+00  0.19200E+00
0.43625E-04  0.18546E-05
0.37203E-04  -0.20040E-05
0.30330E-04  0.46195E-05
0.30194E-04  0.90737E-05
0.37324E-04  0.11418E-04
0.40930E-04  0.10795E+01
0.51373E+00  0.90064E+00
0.77430E+00  0.49579E+00
0.75901E+00  0.34459E+00
0.72355E+00  0.22437E+00
0.64180E+00  0.14454E+00
0.65242E+00  -0.25582E+00
0.22283E-04  -0.13532E-04
0.84768E-05  0.35654E-06
0.98213E-05  0.35937E-05
0.10009E-04  0.58329E-05
0.87142E-05  0.14744E-04
0.27382E-04  0.11620E+01
0.56450E+00  0.41680E+00
0.38810E+00  0.31133E+00
0.36203E+00  0.21416E+00
0.32751E+00  0.17095E+00
0.29768E+00  0.15475E+00
0.26150E+00  0.15939E+00
0.21176E+00  0.17648E+00
0.15100E+00  0.19452E+00
0.77772E-01  0.20862E+00
-0.79729E-14  0.21323E+00
0.31214E-12  0.31719E+01
0.66618E+00  0.29797E+01
0.11532E+01  0.24877E+01
0.13984E+01  0.18670E+01
0.14704E+01  0.12155E+01
0.16046E+01  0.64850E+00
0.18718E+01  0.28935E+00
0.20648E+01  0.18109E+00
0.22203E+01  0.15597E+00
0.23423E+01  0.43645E+00
0.27386E+01  0.63476E+00
0.13290E+01  0.12221E+01
0.70585E+00  0.86169E+00
0.43250E-04  0.75308E-05
0.36422E-04  0.68027E-05
0.33276E-04  0.61607E-05
0.33121E-04  0.68477E-05
0.35536E-04  0.71425E-05
0.40433E-04  0.54764E+00
0.36045E+00  0.50048E+00
0.58228E+00  0.42459E+00
0.66315E+00  0.34672E+00
0.63229E+00  0.29462E+00
0.54146E+00  0.21325E+00
0.32408E+00  0.89879E-01
0.17958E-04  0.90765E-06
0.15390E-04  0.72049E-06
0.12431E-04  0.42232E-05
0.12018E-04  0.64511E-05
0.14802E-04  0.70944E-05
0.15949E-04  0.58818E+00
0.19155E+00  0.50425E+00
0.28830E+00  0.31345E+00
0.29171E+00  0.23021E+00
0.29909E+00  0.18298E+00
0.29783E+00  0.17343E+00
0.27889E+00  0.19516E+00
0.24386E+00  0.22955E+00
0.17095E+00  0.26959E+00
0.90966E-01  0.29041E+00
0.78840E-14  0.29898E+00
0.22807E-12  0.26003E+01
0.39410E+00  0.24903E+01
0.69659E+00  0.21890E+01
0.83716E+00  0.17969E+01
0.89482E+00  0.10615E+01
0.21781E-04  0.64006E-05
0.16410E-04  0.19921E-04
0.20475E-04  0.24067E-04
0.23190E-04  0.26393E-04
0.20940E-04  0.48604E-04
0.73850E-04  0.35203E+01
0.12570E+01  0.16232E+01
0.46040E+00  0.15016E+01
0.38478E-04  0.14682E-04
0.35598E-04  0.10718E-04
0.31584E-04  0.84557E-05
0.31805E-04  0.50552E-05
0.35144E-04  0.25249E-05
0.37738E-04  0.15626E+00
0.34162E+00  0.19846E+00
0.58327E+00  0.27285E+00
0.66126E+00  0.34118E+00
0.60518E+00  0.37575E+00
0.47440E+00  0.36878E+00
0.26690E+00  0.34129E+00
0.19530E-04  0.30856E-05
0.16343E-04  0.46261E-05
0.14317E-04  0.54942E-05
0.13282E-04  0.61946E-05
0.13329E-04  0.59106E-05
0.14543E-04  0.40917E+00
0.98178E-01  0.36846E+00
0.18141E+00  0.28069E+00
0.22707E+00  0.20327E+00
0.27428E+00  0.15784E+00
0.31349E+00  0.16067E+00
0.33430E+00  0.20631E+00
0.26828E+00  0.30058E+00
