  vx           vy
  0.81480E-13  -0.56843E-13
  0.11296E+02  -0.17764E-13
  0.68460E+01  0.10658E-13
  0.53875E+01  0.10303E-12
  0.50624E+01  0.74607E-13
  0.50106E+01  -0.35527E-13
  0.50017E+01  0.21316E-13
  0.50000E+01  -0.24869E-13
  0.49988E+01  -0.11902E-12
  0.49926E+01  0.00000E+00
  0.49623E+01  0.47962E-13
  0.47247E+01  -0.55067E-13
  0.40297E+01  -0.11546E-13
  0.32901E+01  -0.16875E-13
  0.24182E+01  0.28422E-13
  0.17999E+01  0.43521E-13
  0.14206E+01  -0.13323E-14
  0.11727E+01  -0.19984E-13
  0.10221E+01  0.88818E-14
  0.96897E+00  -0.26645E-14
  0.10146E+01  -0.26645E-14
  0.10847E+01  -0.18208E-13
  0.11850E+01  0.39968E-14
  0.12216E+01  -0.84377E-14
  0.12261E+01  0.17097E-13
  0.12270E+01  0.86597E-14
  0.12271E+01  0.26645E-14
  0.12269E+01  -0.17764E-14
  0.12253E+01  -0.24425E-14
  0.12177E+01  -0.38858E-15
  0.11581E+01  -0.90900E-15
  0.98340E+00  0.22760E-14
  0.79522E+00  0.00000E+00
  0.57104E+00  0.31086E-14
  0.40661E+00  -0.12990E-13
  0.29806E+00  -0.11102E-15
  0.21720E+00  0.11213E-13
  0.15276E+00  0.95479E-14
  0.97639E-01  0.56621E-14
  0.47672E-01  0.39968E-14
 -0.10277E-13  0.41930E-14
 -0.16755E-12  0.11296E+02
  0.57044E+01  0.57044E+01
  0.52583E+01  0.16699E+01
  0.49679E+01  0.28121E+00
  0.49973E+01  0.47429E-01
  0.49994E+01  0.80113E-02
  0.49998E+01  0.13833E-02
  0.49999E+01  0.43723E-03
  0.50001E+01  0.46794E-03
  0.49992E+01  0.81797E-02
  0.50095E+01  0.31499E-02
  0.49589E+01  0.37696E+00
  0.52884E+01  0.55978E+00
  0.30000E+01  0.13000E+01
  0.22554E+01  0.66322E+00
  0.16948E+01  0.44352E+00
  0.13588E+01  0.28786E+00
  0.11275E+01  0.18955E+00
  0.97806E+00  0.11201E+00
  0.91516E+00  0.45687E-02
  0.92430E+00  -0.83973E-01
  0.12885E+01  -0.19231E+00
  0.12189E+01  -0.23747E-01
  0.12289E+01  -0.50948E-02
  0.12270E+01  -0.71818E-03
  0.12272E+01  -0.13283E-03
  0.12272E+01  0.28960E-04
  0.12272E+01  0.10288E-03
  0.12270E+01  0.20434E-02
  0.12296E+01  0.83861E-03
  0.12170E+01  0.94235E-01
  0.12985E+01  0.14145E+00
  0.72524E+00  0.32905E+00
  0.53207E+00  0.17412E+00
  0.38214E+00  0.12236E+00
  0.28501E+00  0.87307E-01
  0.20959E+00  0.68526E-01
  0.14837E+00  0.57354E-01
  0.95201E-01  0.50970E-01
  0.46582E-01  0.47648E-01
 -0.21325E-13  0.46616E-01
  0.19804E-12  0.68460E+01
  0.16699E+01  0.52583E+01
  0.47205E-04  0.47205E-04
  0.43844E-04  0.51549E-04
  0.49708E-04  0.46249E-04
  0.49832E-04  0.43506E-04
  0.49993E-04  0.41006E-04
  0.49992E-04  0.38962E-04
  0.50062E-04  0.37354E-04
  0.49860E-04  0.37530E-04
  0.51810E-04  0.35901E-04
  0.44226E-04  0.71506E-04
  0.13096E-03  0.53585E+01
  0.26367E+01  0.17564E+01
  0.16829E+01  0.12398E+01
  0.14448E+01  0.77348E+00
  0.11895E+01  0.53343E+00
  0.10056E+01  0.36412E+00
  0.86668E+00  0.21996E+00
  0.74520E+00  0.11084E+00
  0.78797E+00  -0.41155E+00
  0.29062E-04  -0.19012E-04
  0.10844E-04  -0.25397E-05
  0.12641E-04  0.63858E-07
  0.12238E-04  0.23935E-05
  0.12286E-04  0.37167E-05
  0.12271E-04  0.47432E-05
  0.12289E-04  0.56076E-05
  0.12238E-04  0.67484E-05
  0.12721E-04  0.73362E-05
  0.10856E-04  0.17047E-04
  0.32324E-04  0.13365E+01
  0.63913E+00  0.45071E+00
  0.39381E+00  0.32665E+00
  0.32448E+00  0.21572E+00
  0.24917E+00  0.16254E+00
  0.18924E+00  0.12963E+00
  0.13631E+00  0.11036E+00
  0.88477E-01  0.99052E-01
  0.43556E-01  0.93135E-01
  0.19832E-15  0.91288E-01
  0.15296E-12  0.53875E+01
  0.28121E+00  0.49679E+01
  0.51549E-04  0.43844E-04
  0.46027E-04  0.46027E-04
  0.46519E-04  0.45626E-04
  0.47415E-04  0.43160E-04
  0.47722E-04  0.40851E-04
  0.48146E-04  0.38683E-04
  0.48825E-04  0.37017E-04
  0.50560E-04  0.35676E-04
  0.52728E-04  0.37752E-04
  0.68299E-04  0.35374E-04
  0.74164E-04  0.26554E+01
  0.84490E+00  0.22638E+01
  0.12150E+01  0.13693E+01
  0.10855E+01  0.98261E+00
  0.97216E+00  0.70191E+00
  0.84082E+00  0.50815E+00
  0.71115E+00  0.35189E+00
  0.58742E+00  0.18138E+00
  0.35011E+00  -0.17017E-01
  0.21013E-04  -0.21409E-06
  0.18338E-04  -0.23218E-05
  0.14638E-04  0.11238E-05
  0.13921E-04  0.26552E-05
  0.13390E-04  0.38941E-05
  0.13179E-04  0.47954E-05
  0.13144E-04  0.56033E-05
  0.13443E-04  0.63415E-05
  0.13893E-04  0.78262E-05
  0.17688E-04  0.81315E-05
  0.19049E-04  0.68066E+00
  0.19969E+00  0.58527E+00
  0.28237E+00  0.36786E+00
  0.24149E+00  0.27759E+00
  0.20393E+00  0.21571E+00
  0.16113E+00  0.17888E+00
  0.11952E+00  0.15581E+00
  0.78915E-01  0.14207E+00
  0.39224E-01  0.13476E+00
 -0.21335E-13  0.13246E+00
 -0.40307E-14  0.50624E+01
  0.47429E-01  0.49973E+01
  0.46249E-04  0.49708E-04
  0.45626E-04  0.46519E-04
  0.44932E-04  0.44932E-04
  0.45074E-04  0.42869E-04
  0.45416E-04  0.40481E-04
  0.45980E-04  0.38083E-04
  0.47092E-04  0.35747E-04
  0.49028E-04  0.33706E-04
  0.53412E-04  0.31297E-04
  0.58462E-04  0.27625E-04
  0.65816E-04  0.18305E+01
  0.45208E+00  0.16715E+01
  0.70694E+00  0.13618E+01
  0.78721E+00  0.10336E+01
  0.74904E+00  0.80085E+00
  0.67071E+00  0.61983E+00
  0.56460E+00  0.47215E+00
  0.42292E+00  0.33996E+00
  0.23548E+00  0.22616E+00
  0.21047E-04  0.16330E-05
  0.18340E-04  0.19259E-05
  0.16472E-04  0.24157E-05
  0.15045E-04  0.35119E-05
  0.14302E-04  0.43258E-05
  0.13894E-04  0.49861E-05
  0.13812E-04  0.55110E-05
  0.14053E-04  0.60013E-05
  0.14979E-04  0.63250E-05
  0.16120E-04  0.62917E-05
  0.17864E-04  0.48476E+00
  0.10507E+00  0.44670E+00
  0.16136E+00  0.37369E+00
  0.17437E+00  0.29823E+00
  0.15801E+00  0.24864E+00
  0.13229E+00  0.21456E+00
  0.10144E+00  0.19257E+00
  0.68434E-01  0.17896E+00
  0.34412E-01  0.17160E+00
  0.86308E-14  0.16927E+00
 -0.56027E-13  0.50106E+01
  0.80113E-02  0.49994E+01
  0.43506E-04  0.49832E-04
  0.43160E-04  0.47415E-04
  0.42869E-04  0.45074E-04
  0.42728E-04  0.42728E-04
  0.42870E-04  0.40146E-04
  0.43365E-04  0.37351E-04
  0.44388E-04  0.34381E-04
  0.46270E-04  0.31114E-04
  0.49017E-04  0.27195E-04
  0.52775E-04  0.21567E-04
  0.55840E-04  0.14380E+01
  0.26619E+00  0.13719E+01
  0.46177E+00  0.12051E+01
  0.55416E+00  0.10161E+01
  0.56712E+00  0.84213E+00
  0.52390E+00  0.69940E+00
  0.44109E+00  0.58216E+00
  0.32345E+00  0.48727E+00
  0.17228E+00  0.42213E+00
  0.20402E-04  0.40114E-05
  0.18673E-04  0.37891E-05
  0.17013E-04  0.40975E-05
  0.15754E-04  0.45201E-05
  0.14859E-04  0.49615E-05
  0.14329E-04  0.52892E-05
  0.14126E-04  0.55026E-05
  0.14281E-04  0.55795E-05
